"a thing of the past"	test/etc/annots/Heroes_of_the_Valley.txt, test/etc/annots/A_Prophetic_Romance.txt, test/etc/more/Mike_and_PSmith.txt, 
and coiled-coil domain-containing protein 1 is a 	test/etc/genes/TMCO1.txt, test/etc/genes/CCDC190.txt, test/etc/genes/CCDC181.txt, 
in the 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
homology domain in all family members The 	test/etc/genes/WASF3.txt, test/etc/genes/WASF2.txt, test/etc/genes/Janus_kinase_2.txt, 
"function as a "	test/etc/annots/The_Modular_Man.txt, test/etc/more/Middlemarch.txt, test/etc/enzymes/Nitric_oxide_synthase.txt, 
"gene Syntaxin 8 "	test/etc/genes/STX8.txt, 
"GTPase activity of Ras via its C-terminal GAP domain " "genes located on chromosome 17 The encoded protein functions as a sequence-specific transcription " "experience the symptoms "	
"in mice "	test/etc/enzymes/FKBP6.txt, test/etc/genes/Beta-secretase_1.txt, test/etc/genes/SLC35F6.txt, 
1109 amino acids long  "this gene "	
by  "mRNA " G-protein-coupled receptors GPCR arising from single 	
"is a protein that in humans is " IFNL2 and IFNL3 in that proteins encoded 	
"through the MCU in conjunction " coronary 	
is a protein that 	test/etc/Ulysses.txt, test/etc/annots/Sexmission.txt, test/etc/annots/The_Lathe_of_Heaven.txt, 
humans is encoded  "associated with "	test/etc/enzymes/FKBP8.txt, test/etc/enzymes/RRM1.txt, test/etc/enzymes/FKBP6.txt, 
"Telomeric repeat-binding " that  "and "	test/etc/genes/TERF2.txt, 
"mediates acidification of eukaryotic intracellular " the p53  the 	
resemblance to secretin another  "InterPro IPR014929 Available protein structures Pfam structures " "offer insights "	
"the PLEKHG5 gene Eight transcript variants encoding different isoforms "	test/etc/genes/PLEKHG5.txt, 
type VI  "this family " encoded by the ASB1 gene 	
and maintains  where  "be a "	test/etc/Arms_and_the_Man.txt, test/etc/annots/Nineteen_Eighty_Four.txt, test/etc/annots/Nineteen_Eighty-Four.txt, 
the 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
"tissues "	test/etc/Ulysses.txt, test/etc/annots/Ethan_of_Athos.txt, test/etc/annots/Next__Crichton_novel_.txt, 
"provided "	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
A9 is a  separated 	
highly 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
"is "	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
"kinase kinase kinase 19 is " reproduction childbirth and  domain 	
"the ALOX15B gene " "is that the latter contain a 5S rRNA Among different "	
"KCNE4 gene "	test/etc/genes/KCNE4.txt, 
"cells As an inflammatory cytokine " the FUT8 gene This enzyme  or leaving the nucleus either diffuse through 	
protein kinase 	test/etc/enzymes/CGMP_specific_phosphodiesterase_type_5.txt, test/etc/enzymes/GTP_cyclohydrolase_I.txt, test/etc/enzymes/Thrombin.txt, 
"a " two linked multi-subunit complexes the  "in mitochondrial diseases "	
a protein that in humans   "receptor subunit "	test/etc/genes/GABRG1.txt, test/etc/genes/GABRR1.txt, test/etc/genes/GABRG2.txt, 
RICS has  by the DSTYK 	
"gene " Caenorhabditis elegans  "is encoded "	test/etc/genes/MRPS33.txt, test/etc/genes/GRB2.txt, test/etc/genes/NAV1.txt, 
coagulation by  in  is a protein 	test/etc/enzymes/Factor_XII.txt, test/etc/enzymes/Factor_XI.txt, test/etc/enzymes/Protein_C.txt, 
GI tract brain and  NOD6 	
or  "4 sub-band "	
1.14.13.98  verify Galanin is a neuropeptide 	
100  an increase  "63 is "	
is a large chondroitin 	test/etc/genes/Arylsulfatase_B.txt, test/etc/genes/Versican.txt, test/etc/genes/Aggrecan.txt, 
that 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
synthetase long-chain 	test/etc/genes/Very_long-chain_acyl-CoA_synthetase.txt, test/etc/genes/Beta-ketoacyl-ACP_synthase.txt, test/etc/genes/ACSBG1.txt, 
LDL particles The receptor 	test/etc/genes/PCSK9.txt, test/etc/genes/LDL_receptor.txt, 
Chemerin 	test/etc/genes/CCRL2.txt, test/etc/genes/Chemerin_peptide.txt, test/etc/genes/CMKLR1.txt, 
"kininogens The type " is encoded 	test/etc/genes/CST6__.txt, test/etc/genes/CST9L.txt, test/etc/genes/CSTL1.txt, 
Trem-like transcript  "CD201 "	
the UTF1 gene promoter loses methylation and becomes abnormally expressed  encoded protein a member of 	
"BOC are " "encoded by the " is a major 	
"gene b-tropomyosin is striated " "in humans is encoded " is 	test/etc/genes/TPM2.txt, 
"is known to be regulated via " "is " "Sequence analysis "	
is found in  "is encoded "	test/etc/enzymes/Choline_acetyltransferase.txt, test/etc/enzymes/Dihydrofolate_reductase.txt, test/etc/enzymes/Protein_C.txt, 
encoding  "gene belongs to the " "protein 2 is "	test/etc/genes/LRRN2.txt, 
cationic polypeptides that are 	test/etc/genes/DEFB129.txt, test/etc/genes/DEFB127.txt, 
"gene "	test/etc/annots/Fusion_Fire.txt, test/etc/annots/Just_Like_That_novel.txt, test/etc/annots/Peace__novel_.txt, 
synthase Mitochondrial ATP  a protein which in humans 	test/etc/genes/ATP5F1.txt, test/etc/genes/ATP5I.txt, test/etc/genes/ATP5L.txt, 
transmembrane  protein 1 	test/etc/enzymes/Vitamin_K_epoxide_reductase.txt, test/etc/genes/Beta-secretase_1.txt, test/etc/genes/Poliovirus_receptor-related_1.txt, 
gene 	test/etc/annots/Fusion_Fire.txt, test/etc/annots/Just_Like_That_novel.txt, test/etc/annots/Peace__novel_.txt, 
"family "	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
homolog of the Drosophila gene 	test/etc/enzymes/Vitamin_K_epoxide_reductase.txt, test/etc/genes/DVL2.txt, test/etc/genes/SCRIB.txt, 
in the dark hair areas 	test/etc/Ulysses.txt, test/etc/annots/The_Circus_of_Dr__Lao.txt, test/etc/The_Lost_World.txt, 
protein 	test/etc/Ulysses.txt, test/etc/annots/Sexmission.txt, test/etc/annots/The_Lathe_of_Heaven.txt, 
convertases 	test/etc/genes/TLQP-62.txt, test/etc/genes/PCSK9.txt, test/etc/genes/Properdin.txt, 
active cysteine protease  "FAM63A are " inflammatory diseases for instance rheumatoid arthritis Certain cancers 	
import of iron 	test/etc/Paradise_Lost.txt, test/etc/Our_Mutual_Friend.txt, test/etc/Ivanhoe.txt, 
18 carbon 	test/etc/Ulysses.txt, test/etc/annots/The_War_Game.txt, test/etc/more/The_Fiends_Delight.txt, 
the RSPH9  Sox2 holds great 	
in the 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
positioning centrosome separation  "mitogen-activated "	
S pombe is a  by the 	test/etc/genes/VPS26B.txt, test/etc/genes/Wee1-like_protein_kinase.txt, test/etc/genes/SFI1.txt, 
similar efficiencies and on core 1  "subsets of T cells The "	
the MMAA gene V-type proton ATPase subunit  	
the ZNF737 gene Cyclin dependent  to osteoblasts 	
humans is encoded  malonyl-CoA through  "13 amino "	
protein  protein  single coding-exon 	test/etc/genes/OR52I1.txt, test/etc/genes/OR52E2.txt, test/etc/genes/OR8H1.txt, 
2A is a  "Tropomodulin-1 " decarboxylase 	
protein synthesized as a 	test/etc/enzymes/ATP_synthase.txt, test/etc/enzymes/Tyrosinase.txt, test/etc/enzymes/Factor_X.txt, 
"Swiss-model Domains InterPro "	test/etc/enzymes/Luciferase.txt, test/etc/genes/Hexokinase.txt, test/etc/genes/Phosphoglycerate_mutase.txt, 
subunit beta 	test/etc/enzymes/FARSB.txt, test/etc/genes/IDH3A.txt, test/etc/genes/PSMB10.txt, 
channels BNC1 brain Na  "R is a " gene 	
expression HAND1 can  is a 	test/etc/genes/HAND1.txt, 
"These mice exhibit chromosomal instability indicating that NHEJ is important for genome maintenance In many organisms Ku "	test/etc/genes/Ku__.txt, 
can have roles critical 	test/etc/more/War_And_Peace.txt, test/etc/more/No_Great_Magic.txt, test/etc/more/The_Green_Millenium.txt, 
"of five family members " FABP3  the 	
percentile Since high thyroid expression was  "homologue of the Drosophila tailless gene " the WDR12 	
"pathway PRIAM profile " vesicles or microtubule-based motor 	
"PHS " hPL is a hormone secreted by the  with 	
found in a wide  "type of alkaline phosphatase that in humans is "	
"protein T protein " known as protein-lysine  and is 	
encoded by this gene  surface 	test/etc/genes/CD79A.txt, test/etc/genes/TMPRSS6.txt, test/etc/genes/SCAMP2.txt, 
it forms the heterodimeric  diverse functions  that in humans is encoded 	
"the S17P "	test/etc/genes/40S_ribosomal_protein_S11.txt, 
Hemogen is a protein that  "IL-8 " of 	
Y  "susceptibility to carcinogens "	
calcium-binding protein A11 	test/etc/genes/S100A11.txt, 
binds TRAIL  mast cells 	test/etc/Ulysses.txt, test/etc/more/Ulysses.txt, 
"gene "	test/etc/annots/Fusion_Fire.txt, test/etc/annots/Just_Like_That_novel.txt, test/etc/annots/Peace__novel_.txt, 
GPC2 mRNA transcripts  protein 	test/etc/genes/Glypican_2.txt, 
encoded by the CLEC7A gene  "dsRNA the N-terminus caspase activation " GlcNAc to 	
by 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
a gene located on  "to " 	test/etc/annots/The_Walking_Dead_Rise_of_the_Governor.txt, test/etc/annots/Shadow_Puppets.txt, test/etc/more/The_13th_Immortal.txt, 
"protein Lhx6 " is 	test/etc/genes/LHX6.txt, 
"structure " "in humans is encoded by the CCR10 gene "	
initiation from an AUG  encoded by  three 	
"processes in vitro " "known as "	
processes as protein sorting zymogen  the perception of 	
been associated with hypertrophic cardiomyopathy and altered obscurin protein properties 	test/etc/genes/Obscurin.txt, 
with other family members  "regulation of embryonic development and in "	
non-catalytic  as well 	
enzyme  acids 	test/etc/enzymes/Phenylalanine_racemase.txt, test/etc/enzymes/S-adenosyl-L-homocysteine_hydrolase.txt, test/etc/enzymes/Adenosine_deaminase.txt, 
together This  "receptor is " use in molecular biology laboratories for recombinant DNA 	
MAPKKK  "is " 5-hydroxytryptamine receptor 3A 	
is  Mouse Gene This symbol is assigned to 	test/etc/genes/SPEG.txt, test/etc/genes/CYP4B1.txt, 
by the TAF7l gene It is a close homologue  is an enzyme 	
Lewis antigens which are frequently found to be elevated in gastrointestinal  or deletions of the  share approximately 50 amino 	
of  domain-containing protein 2 is a  "utilizes NAD as the electron "	
are  randomized left-right  "GCDH "	
that oxidizes myo-inositol to  non-haem 	
subunits are 	test/etc/enzymes/Coenzyme_Q_-_cytochrome_c_reductase.txt, test/etc/enzymes/ATP_synthase.txt, test/etc/enzymes/RNase_H.txt, 
This region shows  "and function of specific " the 	
RNA  Olfactory receptors interact with 	
receptor proteins are members of a large family  "of PLA2 on lecithin "	
gene  by the 	test/etc/annots/Fusion_Fire.txt, test/etc/annots/Just_Like_That_novel.txt, test/etc/annots/Peace__novel_.txt, 
convserved region  T-cell derived serine proteinase  "hypothesis is "	
of  "summary " "G-protein-coupled receptors "	
"junctions occurs In Drosophila the shaker gene is located on the X chromosome The closest " In addition  gene 	
"and other signal " gene Translocation protein SEC62 is 	
by the CLDN10 gene It  of a signal  cell lines 	
do 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
"known " rate Cysteine-rich secretory protein  the breakdown 	
"on T-helper cells "	test/etc/genes/HLA-DR.txt, 
"encoded "	test/etc/annots/Shadow_of_the_Hegemon.txt, test/etc/annots/Titan_A.E..txt, test/etc/enzymes/FKBP9.txt, 
"a " "for " cancer 	test/etc/Ulysses.txt, test/etc/annots/The_Goldfinch_novel.txt, test/etc/annots/Seafort_Saga.txt, 
"that " active  encodes a 	test/etc/genes/SCNN1D.txt, test/etc/genes/CST6__.txt, test/etc/genes/ATPIF1.txt, 
"synapse " in fibroblasts this protein was able to induce 	
membranes 	test/etc/annots/Spin__novel_.txt, test/etc/annots/Sixth_Column.txt, test/etc/The_Lost_World.txt, 
a large 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
"an enzyme with glycosyltransferase activity " protein 32 or bHLHe32 is a protein 	
gene encoding 	test/etc/enzymes/Inositol-3-phosphate_synthase.txt, test/etc/enzymes/Phenylalanine_hydroxylase.txt, test/etc/enzymes/RRM2B.txt, 
 "verified by "	test/etc/more/Dracula.txt, test/etc/more/An_Inquiry_into_the_Nature_and_Causes_of_the_Wealth_of_Nations.txt, test/etc/Dracula.txt, 
by the  fever and  "glial cell-line "	
"an unusual genomic " of various inflammatory diseases for instance rheumatoid 	
gene  which acts  and various endocrine glands 	
cerebral cortex  is encoded by the TNIK gene 	
"a "	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
is a tyrosine  "diabetes and various types of liver " "protein "	
the electron  "behavior after stress Alternatively " RNA polymerase II transcription 	
of Differentiation 8a is a 	test/etc/genes/CD8A.txt, 
"expressed in specific " "research "	
p53 activity and thus  "on DNA "	
a  "thought to have a " role in aging 	
results in their involvement 	test/etc/annots/The_House_of_Mirth.txt, test/etc/annots/The_Heart_of_the_Matter.txt, test/etc/annots/Modern_Lovers_novel.txt, 
While the 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
zeta chain or  phosphate phosphohydrolase 	
is a protein that in humans is encoded 	test/etc/enzymes/FKBP9.txt, test/etc/enzymes/FKBP8.txt, test/etc/enzymes/FKBPL.txt, 
fusion protein with  cofactor 	test/etc/genes/MOCS1.txt, 
Olfactory receptors interact with odorant  "EBI.jpg " ECOD PDB RCSB PDB PDBe PDBj PDBsum 	
"genes "	test/etc/annots/Sexmission.txt, test/etc/annots/Fusion_Fire.txt, test/etc/annots/Net_Sphere_Engineer.txt, 
"that "	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
is a protein that in  U1 snRNA in RAN and  lipoprotein-binding protein 1 is 	
voltage-dependent calcium channel 	test/etc/genes/CACNG4.txt, test/etc/genes/CACNG3.txt, test/etc/genes/CACNG2.txt, 
"is " "shown to "	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Ulysses.txt, test/etc/annots/The_Ice_Limit.txt, 
by  the protein 	test/etc/Ulysses.txt, test/etc/annots/Sexmission.txt, test/etc/annots/The_Lathe_of_Heaven.txt, 
its 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
polymorphisms SNPs of 	test/etc/genes/CDKN2BAS.txt, test/etc/genes/SorCS2.txt, test/etc/genes/Glutamate-rich_protein_3.txt, 
prion  that centrin-2 plays a  "cadherins Expression "	
causes progressive  by the TUBB4A  "this gene have been linked to bare "	
alternative splicing of exon 5 has 	test/etc/genes/Ribonuclease_4.txt, test/etc/genes/GRIN1.txt, test/etc/genes/SSR4.txt, 
gene is  "protein " "as a "	test/etc/enzymes/Choline_acetyltransferase.txt, test/etc/enzymes/Protein_C.txt, test/etc/enzymes/Thrombin.txt, 
the  known 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
"of other organisms miR-138 is a "	
with  Trem-like 	test/etc/genes/TREML1.txt, 
"protein "	test/etc/Ulysses.txt, test/etc/annots/Sexmission.txt, test/etc/annots/The_Lathe_of_Heaven.txt, 
encoded by the 	test/etc/annots/Shadow_of_the_Hegemon.txt, test/etc/annots/Titan_A.E..txt, test/etc/enzymes/FKBP9.txt, 
brain RHEB 	test/etc/genes/RHEB.txt, 
the encoded 	test/etc/annots/Shadow_of_the_Hegemon.txt, test/etc/annots/Titan_A.E..txt, test/etc/enzymes/FKBP9.txt, 
"the recognition and G " "involed in the "	
in the mitochondrial  and help in protein synthesis within  gene have been 	test/etc/genes/MRPS33.txt, test/etc/genes/MRPL22.txt, test/etc/genes/MRPS30.txt, 
cysteines that  is carried 	
transient adaptor and plays a 	test/etc/genes/TRIM55.txt, 
39S  encoded by 	test/etc/genes/MRPL1.txt, test/etc/genes/MRPL40.txt, test/etc/genes/MRPL55.txt, 
"Olfactory receptors " gene Cysteine-rich 	
is encoded 	test/etc/annots/Shadow_of_the_Hegemon.txt, test/etc/annots/Titan_A.E..txt, test/etc/enzymes/FKBP9.txt, 
"subclass of "	test/etc/genes/60S_ribosomal_protein_L7a.txt, test/etc/genes/Neurocalcin.txt, test/etc/genes/GLI3.txt, 
N-terminal  endocrine system  amino acids apart Proteins involved in 	
"of the CCR4-Not "	test/etc/genes/CNOT8.txt, test/etc/genes/CNOT6L.txt, test/etc/genes/CNOT7.txt, 
to be  gene ADP-ribosylation  been suggested but 	
"gene " "Olfactory " "cycle "	
"1 that "	test/etc/queries.txt, test/etc/Leviathan.txt, test/etc/The_Woman_in_White.txt, 
marker of murine  "also acts " 2.3.3.10 is an 	
at  in humans is encoded by the  "small GTPases "	test/etc/genes/HRAS.txt, test/etc/genes/DDEF2.txt, 
it is recruited during a late step 	test/etc/David_Copperfield.txt, test/etc/more/Mike_and_PSmith.txt, test/etc/more/David_Copperfield.txt, 
protein 	test/etc/Ulysses.txt, test/etc/annots/Sexmission.txt, test/etc/annots/The_Lathe_of_Heaven.txt, 
alpha TGF-a is a protein  "cancer an excess of regulatory T "	
"sequenced the amino " essential for the translocation of  control and in the pathogenesis of 	
Identifiers  protein 	test/etc/enzymes/FKBP8.txt, test/etc/enzymes/Factor_XII.txt, test/etc/enzymes/Choline_acetyltransferase.txt, 
"structures " "protein "	test/etc/enzymes/Dihydrofolate_reductase.txt, test/etc/enzymes/Adenosine_deaminase.txt, test/etc/enzymes/Carbonic_anhydrase.txt, 
and aldehydes or ketones with the 	test/etc/enzymes/Alcohol_dehydrogenase.txt, test/etc/genes/Alcohol_dehydrogenase.txt, 
of this gene  "4 SH3BP2 binds differentially "	
"for this gene DNA-directed " provides free fatty 	
is  by 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
is on  one amino acid of  COX6B2 gene 	
it dimerizes and functions to 	test/etc/genes/Alpha_catenin.txt, 
"times and resides in the " NCX 	
"to pyruvate and " be involved  This gene 	test/etc/genes/ARAF.txt, 
"protein Pantetheinase is an enzyme " number of carcinomas when compared to 	
humans  "Tropomodulin-1 is "	test/etc/genes/Tropomodulin_1.txt, 
5-hydroxytryptamine  "the induction of apoptosis Alternatively "	
9 resulting 	test/etc/Ulysses.txt, test/etc/annots/Fearsome_Creatures_of_the_Lumberwoods.txt, test/etc/annots/9_2009_animated_film.txt, 
gene product  encoded  domain is highly similar to that of the 	test/etc/genes/TMEM123.txt, 
cell division 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Ulysses.txt, test/etc/A_Study_In_Scarlet.txt, 
"encodes "	test/etc/enzymes/RRM1.txt, test/etc/enzymes/RNase_H.txt, test/etc/enzymes/Parvulin.txt, 
by the PI4K2A  of 	
protein that in humans  receptor calcitonin  receptor p75NTR was 	
known  of 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
in the 	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/Ulysses.txt, 
"odorant signals "	test/etc/genes/OR52I1.txt, test/etc/genes/OR52E2.txt, test/etc/genes/OR8H1.txt, 
that  "facilitates fertilization The protein was named after Juno the "	test/etc/genes/Juno__.txt, 
dystrophy 	test/etc/genes/Fukutin.txt, test/etc/genes/MBNL1.txt, test/etc/genes/Keratin_3.txt, 
site found  "the "	test/etc/The_Adventures_of_Sherlock_Holmes.txt, test/etc/Arms_and_the_Man.txt, test/etc/The_Vampyre_A_Tale.txt, 
"a protein that in humans " is 	test/etc/enzymes/FKBP9.txt, test/etc/enzymes/FKBP8.txt, test/etc/enzymes/FKBPL.txt, 
